FragmentID,SMILES,Unnamed: 2,MW,logP,HBD,HBA,TPSA,RotBonds,Solubility_mg_per_mL
Z2760943001,CCC(=O)NC1CCCN(C1)C=2N=CN=C3C2N=CN3CC4(O)CCOC4C,,388.4720000000002,0.8611999999999997,2,8,105.4,5,3.9616611036754975e-05
Z2760963802,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CCOC(COCC5CC5)C4,,403.48300000000035,0.7639999999999996,2,9,105.76,8,2.2927180034252666e-07
Z2760965781,CCN(C=1N=CN=C2C1N=CN2CC3(O)CCOCC3)C4CCNC4=O,,360.4180000000002,0.08260000000000028,2,8,105.4,5,0.0001697371369387299
Z2760968142,CC1OCCC21CN(CC(C)O2)C=3N=CN=C4C3N=CN4CC5(O)CCOC5,,389.45600000000024,0.7503999999999993,1,9,94.76000000000002,3,0.0013820355006947287
Z2760946985,COCCN1CCN(CC1C)C=2N=CN=C3C2N=CN3C4CC(CO)(CO)C4,,390.4880000000002,0.2891000000000016,2,9,99.77000000000001,7,3.1756241222262245e-06
Z2760973237,CCOC1CC(C1)N(C)C=2N=CN=C3C2N=CN3CC4(CO)COC4,,347.4190000000002,0.8388999999999998,1,8,85.53,7,2.4613238834579704e-06
Z2760962451,OCCOC1CCCN(C1)C=2N=CN=C3C2N=CN3CC(CO)C4CCOC4,,391.47200000000026,0.4489999999999997,2,9,105.76000000000002,8,4.170079212140891e-07
Z2760964377,CC1OCCC1(O)CN2C=NC=3C(=NC=NC32)N4CCOC5(CCOC5)C4,,375.4290000000003,0.36190000000000033,1,9,94.76,3,0.002859637717746306
Z2760975982,CNC(=O)CC1(O)CCCN(C1)C=2N=CN=C3C2N=CN3CC4(CO)COC4,,390.4440000000002,-0.6973999999999989,3,9,125.63000000000002,6,5.948232743870902e-05
Z2760948750,CC(=O)NCC1CN(CCO1)C=2N=CN=C3C2N=CN3CC4(O)CCOCC4,,390.44400000000024,-0.2908999999999986,2,9,114.63000000000002,5,0.00018125623443418853
Z2760970495,COC1CC(N(C)C=2N=CN=C3C2N=CN3CC(O)C4CCCO4)C51CCC5,,387.4840000000003,1.7599999999999993,1,8,85.53,6,2.238066436473822e-06
Z2760969094,O=S1(=O)CC[C@H]2CN(C[C@H]21)C=3N=CN=C4C3N=CN4CC(O)C5CCCO5,,393.4690000000002,-0.010499999999999732,1,9,110.44000000000003,4,0.0005826097141292846
Z1544608209,CC1=CN(C(=O)N(CC(=O)NC=2C=CC(=CC2)C(C)(C)C)C1=O)C3CC(O)C(CO)O3,,431.48900000000026,0.895319999999999,3,8,122.79,5,2.074657109676623e-05
Z2760976264,OCC1(CO)CC(C1)N2C=NC=3C(=NC=NC32)N4CC(O)(C4)C(F)F,,355.3450000000001,-0.051600000000000035,3,8,107.53,5,0.00024708091953492157
Z2760949355,CC1CC2CCCCC2N1C=3N=CN=C4C3N=CN4CC5(O)CCOC5,,357.45800000000025,2.1350999999999996,1,7,76.30000000000001,3,0.00034679467566016935
Z2760956898,COC1CCC2OCCN(C=3N=CN=C4C3N=CN4CC5(CO)CCOCC5)C2C1,,417.5100000000004,1.3880999999999997,1,9,94.76000000000002,5,1.3032924577101967e-05
